team1,team2,toss_winner,toss_decision,venue,winner
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,Rajasthan Royals
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Wankhede Stadium,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Newlands,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Newlands,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Newlands,Deccan Chargers
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,St George's Park,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Newlands,Deccan Chargers
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Kingsmead,Delhi Daredevils
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Newlands,Unknown
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Kingsmead,Deccan Chargers
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,St George's Park,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Newlands,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Kingsmead,Deccan Chargers
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,St George's Park,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,SuperSport Park,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kingsmead,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kingsmead,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,SuperSport Park,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Buffalo Park,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,St George's Park,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,St George's Park,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,New Wanderers Stadium,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Buffalo Park,Chennai Super Kings
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kingsmead,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kingsmead,Delhi Daredevils
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,SuperSport Park,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,SuperSport Park,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Buffalo Park,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,De Beers Diamond Oval,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,De Beers Diamond Oval,Chennai Super Kings
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,St George's Park,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,De Beers Diamond Oval,Deccan Chargers
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,SuperSport Park,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,SuperSport Park,Mumbai Indians
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Kingsmead,Delhi Daredevils
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Kingsmead,Royal Challengers Bangalore
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Kingsmead,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,OUTsurance Oval,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,St George's Park,Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,New Wanderers Stadium,Deccan Chargers
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,New Wanderers Stadium,Kings XI Punjab
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,OUTsurance Oval,Delhi Daredevils
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,New Wanderers Stadium,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kingsmead,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,SuperSport Park,Delhi Daredevils
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,SuperSport Park,Royal Challengers Bangalore
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,SuperSport Park,Deccan Chargers
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,New Wanderers Stadium,Royal Challengers Bangalore
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,New Wanderers Stadium,Deccan Chargers
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",Delhi Daredevils
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Eden Gardens,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Feroz Shah Kotla,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Barabati Stadium,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Barabati Stadium,Deccan Chargers
